"","lga_id","UID","NAME","TYPE","WARD","COMMUNITY","unique_lga"
"1",1,"nnqa","METELE HC","primaryhealthclinic","ARAGE","METELE","borno_abadam"
"2",1,"iujc","NGAAM HC","primaryhealthclinic","FOGUWA","NGAAM","borno_abadam"
"3",1,"ucjo","YAU WANGO DISPENSARY","healthpostdispensary","YAU","WANGO","borno_abadam"
"4",1,"ttir","ABAADAM GENERAL HOSPITAL","generalhospital","YAWA","ABADAM","borno_abadam"
"5",1,"cxul","JABULAM HC","primaryhealthclinic","JABULAM","JABULAM","borno_abadam"
"6",1,"pycm","TIGINI HC","primaryhealthclinic","ARAGE","TIGINI","borno_abadam"
"7",1,"ralk","ARAGE HC","primaryhealthclinic","ARAGE","ARAGE","borno_abadam"
"8",1,"nsss","YITIWA HC","primaryhealthclinic","YITIWA","ABADAM","borno_abadam"
"9",1,"jjwa","YAU HC","primaryhealthclinic","YAU","YAU","borno_abadam"
"10",1,"iibn","COCIN RHealth Post","primaryhealthclinic","BUSUWA","BUSUWA","borno_abadam"
"11",1,"ovkn","MALLAM FATORI PHC","primaryhealthcarecentre","K/KURGU","MALLAM FATORI","borno_abadam"
"12",2,"qlmx","Kekechi PHC","primaryhealthcarecentre","Nuku","Kekechi","fct_abaji"
"13",2,"opow","Gigbe PHC","primaryhealthcarecentre","Gawu","Gigbe","fct_abaji"
"14",2,"zfqe","Nanda Health Clinic","primaryhealthclinic","agyana","Nanda","fct_abaji"
"15",2,"zhrk","Rafin Dagi Health Clinic","primaryhealthclinic","Gurdi","Rafin Dagi","fct_abaji"
"16",2,"coif","Ebagi health Clinic","primaryhealthclinic","Ebagi/Rimba","Ebagi","fct_abaji"
"17",2,"jxeq","M.C.H Centre","primaryhealthclinic","N/East","Sokodabo","fct_abaji"
"18",2,"defd","Dogon Ruwa Health Clinic","primaryhealthclinic","Gawu","Dongon Ruwa","fct_abaji"
"19",2,"ejrt","Manderegi Health Clinic","primaryhealthclinic","Nuku","Manderegi","fct_abaji"
"20",2,"dqzp","PHC Fogbe","primaryhealthclinic","Ashara/Fogbe","Ashara/Fogbe","fct_abaji"
"21",2,"esqi","Bari Bari PHC","primaryhealthcarecentre","Gurdi","Bari Bari","fct_abaji"
"22",2,"agaj","Adagba Health Clinic","primaryhealthclinic","Yaba","Adagba","fct_abaji"
"23",2,"ivvh","Lafiyak Hospital","cottagehospital","North/East","Abaji","fct_abaji"
"24",2,"bmha","Low cost Health Clinic","primaryhealthclinic","Nuku","Low Cost/Barracks","fct_abaji"
"25",2,"udoh","Kpache Health Clinic","primaryhealthclinic","Yaba","Kpache","fct_abaji"
"26",2,"vmot","Lafiyak Hospital","cottagehospital","North/East","abaji","fct_abaji"
"27",2,"iilv","Divine Clinic","cottagehospital","Nuku","Kuku","fct_abaji"
"28",2,"wlns","Mamagi Health Clinic","primaryhealthclinic","Alu Mamagi","mamagi","fct_abaji"
"29",2,"pimu","Walleco Clinic","cottagehospital","North/East","Abaji","fct_abaji"
"30",3,"rcct","General Hospital","generalhospital","Urban 1","Ukpom-Abak","akwa_ibom_abak"
"31",3,"jfak","Health Post","healthpostdispensary","Midim 2","Ikot Edong","akwa_ibom_abak"
"32",3,"kgha","Health Post","healthpostdispensary","Urban 4","Abak Itenge","akwa_ibom_abak"
"33",3,"pwep","Health Post","healthpostdispensary","Afahobong 2","Ikot Akpan Ikpong","akwa_ibom_abak"
"34",3,"orbn","Mercy Hospital","maternity","Urban 3","Abak Town","akwa_ibom_abak"
"35",4,"lsfu","FELIX MEMORIAL HOSPITAL HILTOP","primaryhealthcarecentre","AZUMINI-AZUGWU","URBAN","ebonyi_abakaliki"
"36",4,"fbnr","EBIA UNUHU HEALTH CENTRE","primaryhealthcarecentre","AMEGU-ENYIGBA","AMEGU","ebonyi_abakaliki"
"37",4,"oizw","BASIC HEALTH CENTRE","primaryhealthcarecentre","AMEGU-ENYIGBA","ENYIGBA","ebonyi_abakaliki"
"38",4,"mvjo","WEST END MATERNITY WATER WORKS","maternity","AZUIYIUDELE","URBAN","ebonyi_abakaliki"
"39",4,"qacl","FELLY SUSSY HOSPITAL AND MATERNITY ONITSHA STREET","primaryhealthcarecentre","NDIAGU URBAN","URBAN","ebonyi_abakaliki"
"40",4,"gyjc","EDWARDS HEALTH CENTRE","primaryhealthcarecentre","AZUMINI-AZUGWU","URBAN","ebonyi_abakaliki"
"41",4,"qvty","OBULECHI HEALTH CENTRE","primaryhealthcarecentre","AMEGU-ENYIGBA","AMEGU","ebonyi_abakaliki"
"42",4,"vwrk","MRS HOSPITAL ARMY BARACKS","primaryhealthcarecentre","AMEGU UNUHU","AMEGU","ebonyi_abakaliki"
"43",4,"nmom","ANWUCHI EGBURU INYA HEALTH CENTRE","primaryhealthcarecentre","AMACHI NDEBOR","AMACHI","ebonyi_abakaliki"
"44",4,"ablk","ODARGERIDA HEALTH CENTRE","primaryhealthcarecentre","EDDA","EDDA","ebonyi_abakaliki"
"45",4,"kaoe","ELINWOVU HEALTH CENTRE","primaryhealthcarecentre","AMEGU-ENYIGBA","AMEGU","ebonyi_abakaliki"
